,source_ind,state_name,company_name,brkr_district_code,brkr_district_name,brkr_tax_dist_code,brkr_tax_dist_name,substation_id,substation_name,sub_number,master_cdf,feeder_number,operating_voltage,effective_kv_class,circuit_use,construction_class,tot_ckt_lngth_ft,tot_ckt_lngth_mi,tot_oh_lngth_ft,tot_oh_lngth_mi,tot_ug_lngth_ft,tot_ug_lngth_mi,tot_3phs_lngth_ft,tot_3phs_oh_lngth_ft,tot_3phe_ug_lngth_ft,tot_5kv_lngth_ft,tot_5kv_oh_3phs_lngth_ft,tot_5kv_oh_lngth,tot_5kv_oh_ot_lngth_ft,tot_5kv_ug_3phs_lngth_ft,tot_5kv_ug_ot_lngth_ft,tot_15kv_lngth_ft,tot_15kv_oh_3_phs_lngth_ft,tot_15kv_oh_lngth_ft,tot_15kv_oh_ot_lngth_ft,tot_15kv_ug_3phs_lngth_ft,tot_15kv_ug_ot_lngth_ft,tot_ovr15kv_lngth_ft,tot_ovr15kv_oh_3phs_lngth_ft,tot_ovr15kv_oh_lngth,tot_ovr15kv_oh_ot_lngth_ft,tot_ovr15kv_ug_3phs_lngth_ft,tot_ovr15kv_ug_ot_lngth_ft,customers_served,breaker_setting,tra_nom_ca,sub_nom_voltge,sub_tax_dist,eap_sub_id,sub_str_address,sta_config,sta_regltn,sub_long,sub_lat,sub_gps_date,tbl_load_date
0,NE,Massachusetts,Massachusetts Electric,5.0,Southeast,268.0,Somerset,13581404,RIVERSIDE SUB,17,05_05_17J1,17J1,4.16,5000.0,Distribution,OH,22145.0,4.19,22081.0,4.18,64.0,0.01,9193.0,9129.0,64.0,22145.0,9129.0,22081.0,12952.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,723.0,,0.0,0.0,268.0,,"1981 RIVERSIDE AVE, SOMERSET, MA",,,-71.145782,41.739189,,2019-07-23 04:16:29
1,NE,Massachusetts,Massachusetts Electric,5.0,Southeast,268.0,Somerset,13581404,RIVERSIDE SUB,17,05_05_17J3,17J3,4.16,5000.0,Distribution,OH,33148.0,6.28,32360.0,6.13,788.0,0.15,13408.0,12620.0,788.0,33148.0,12620.0,32360.0,19740.0,788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748.0,,0.0,0.0,268.0,,"1981 RIVERSIDE AVE, SOMERSET, MA",,,-71.145782,41.739189,,2019-07-23 04:16:29
2,NE,Massachusetts,Massachusetts Electric,5.0,Southeast,262.0,Fall River,13581416,HATHAWAY ST. SUB,106,05_05_106W42,106W42,13.8,15000.0,Distribution,Mixed,51594.0,9.77,23331.0,4.42,28263.0,5.3500000000000005,38600.0,13682.0,24918.0,0.0,0.0,0.0,0.0,0.0,0.0,51594.0,13682.0,23331.0,9649.0,24918.0,3345.0,0.0,0.0,0.0,0.0,0.0,0.0,2469.0,,0.0,0.0,262.0,05-0106,"1 HATHAWAY ST, FALL RIVER, MA",,,-71.156387,41.716793,,2019-07-23 04:16:29
3,NE,Massachusetts,Massachusetts Electric,5.0,Southeast,262.0,Fall River,13581416,HATHAWAY ST. SUB,106,05_05_106W43,106W43,13.8,15000.0,Distribution,Mixed,46154.0,8.74,9311.0,1.76,36843.0,6.98,40301.0,4998.0,35303.0,0.0,0.0,0.0,0.0,0.0,0.0,45957.0,4998.0,9114.0,4116.0,35303.0,1540.0,0.0,0.0,0.0,0.0,0.0,0.0,2257.0,,0.0,0.0,262.0,05-0106,"1 HATHAWAY ST, FALL RIVER, MA",,,-71.156387,41.716793,,2019-07-23 04:16:29
4,NE,Massachusetts,Massachusetts Electric,5.0,Southeast,262.0,Fall River,13581416,HATHAWAY ST. SUB,106,05_05_106W44,106W44,13.8,15000.0,Distribution,Mixed,76851.0,14.56,53545.0,10.14,23306.0,4.41,51580.0,31474.0,20106.0,1338.0,754.0,1338.0,584.0,0.0,0.0,74998.0,30313.0,51692.0,21379.0,20106.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,5190.0,,0.0,0.0,262.0,05-0106,"1 HATHAWAY ST, FALL RIVER, MA",,,-71.156387,41.716793,,2019-07-23 04:16:29
5,NE,Massachusetts,Massachusetts Electric,5.0,Southeast,262.0,Fall River,13581416,HATHAWAY ST. SUB,106,05_05_106W45,106W45,13.8,15000.0,Distribution,Mixed,41717.0,7.9,18505.0,3.5,23212.0,4.4,33354.0,11573.0,21781.0,0.0,0.0,0.0,0.0,0.0,0.0,41717.0,11573.0,18505.0,6932.0,21781.0,1431.0,0.0,0.0,0.0,0.0,0.0,0.0,1957.0,,0.0,0.0,262.0,05-0106,"1 HATHAWAY ST, FALL RIVER, MA",,,-71.156387,41.716793,,2019-07-23 04:16:29
6,NE,Massachusetts,Massachusetts Electric,5.0,Southeast,262.0,Fall River,13581416,HATHAWAY ST. SUB,106,05_05_106W46,106W46,13.8,15000.0,Distribution,Mixed,53355.0,10.11,36676.0,6.95,16679.0,3.16,39739.0,23615.0,16124.0,0.0,0.0,0.0,0.0,0.0,0.0,53355.0,23615.0,36676.0,13061.0,16124.0,555.0,0.0,0.0,0.0,0.0,0.0,0.0,2351.0,,0.0,0.0,262.0,05-0106,"1 HATHAWAY ST, FALL RIVER, MA",,,-71.156387,41.716793,,2019-07-23 04:16:29
7,NE,Massachusetts,Massachusetts Electric,5.0,Southeast,262.0,Fall River,13581416,HATHAWAY ST. SUB,106,05_05_106W81,106W81,13.8,15000.0,Distribution,OH,47732.0,9.04,39843.0,7.55,7889.0,1.49,26610.0,20526.0,6084.0,0.0,0.0,0.0,0.0,0.0,0.0,47732.0,20526.0,39843.0,19317.0,6084.0,1805.0,0.0,0.0,0.0,0.0,0.0,0.0,1956.0,,0.0,0.0,262.0,05-0106,"1 HATHAWAY ST, FALL RIVER, MA",,,-71.156387,41.716793,,2019-07-23 04:16:29
8,NE,Massachusetts,Massachusetts Electric,5.0,Southeast,262.0,Fall River,13581416,HATHAWAY ST. SUB,106,05_05_106W82,106W82,13.8,15000.0,Distribution,OH,92196.0,17.46,81609.0,15.46,10587.0,2.01,45891.0,35304.0,10587.0,401.0,0.0,0.0,0.0,401.0,0.0,91795.0,35304.0,81609.0,46305.0,10186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4390.0,,0.0,0.0,262.0,05-0106,"1 HATHAWAY ST, FALL RIVER, MA",,,-71.156387,41.716793,,2019-07-23 04:16:29
9,NE,Massachusetts,Massachusetts Electric,5.0,Southeast,262.0,Fall River,13581420,BATES ST. SUB,115,05_05_115W42,115W42,13.8,15000.0,Distribution,OH,63907.0,12.1,56469.0,10.69,7438.0,1.41,35108.0,27670.0,7438.0,2778.0,256.0,256.0,0.0,2522.0,0.0,61129.0,27414.0,56213.0,28799.0,4916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3108.0,,0.0,0.0,262.0,05-0115,"57 BATES ST, FALL RIVER, MA",,,-71.167824,41.679840000000006,,2019-07-23 04:16:29
