,DISTRCT_CD,DISTRCT_NAME,YR,FDR_MECO,NO_CUSTS_SVD
0,1,Central,2003,05_01_10J323,611.6666666666666
1,1,Central,2003,05_01_10J366,1060.0
2,1,Central,2003,05_01_10J383,851.3333333333334
3,1,Central,2003,05_01_10J99,0.0
4,1,Central,2003,05_01_11J314,406.75
5,1,Central,2003,05_01_11J325,185.16666666666666
6,1,Central,2003,05_01_11J330,418.9166666666667
7,1,Central,2003,05_01_11J331,1099.8333333333333
8,1,Central,2003,05_01_11J332,708.0
9,1,Central,2003,05_01_11J333,59.166666666666664
10,1,Central,2003,05_01_11J334,917.9166666666666
11,1,Central,2003,05_01_11J346,625.8333333333334
12,1,Central,2003,05_01_11J347,976.0
13,1,Central,2003,05_01_11J351,462.5833333333333
14,1,Central,2003,05_01_11J354,866.0833333333334
15,1,Central,2003,05_01_11J357,149.75
16,1,Central,2003,05_01_12J376,387.6666666666667
17,1,Central,2003,05_01_12J377,376.0
18,1,Central,2003,05_01_12J378,824.5
19,1,Central,2003,05_01_12J391,16.833333333333332
20,1,Central,2003,05_01_13J343,0.0
21,1,Central,2003,05_01_13J350,329.5833333333333
22,1,Central,2003,05_01_13J358,837.8333333333334
23,1,Central,2003,05_01_14J367,563.0833333333334
24,1,Central,2003,05_01_14J368,426.0833333333333
25,1,Central,2003,05_01_14J379,0.0
26,1,Central,2003,05_01_14J380,0.0
27,1,Central,2003,05_01_15J385,0.0
28,1,Central,2003,05_01_15J392,779.0
29,1,Central,2003,05_01_16J1,214.08333333333334
30,1,Central,2003,05_01_16J2,187.75
31,1,Central,2003,05_01_16J3,0.8333333333333334
32,1,Central,2003,05_01_1J1,0.0
33,1,Central,2003,05_01_1J362,221.83333333333334
34,1,Central,2003,05_01_1J363,719.25
35,1,Central,2003,05_01_1J369,304.75
36,1,Central,2003,05_01_1J370,699.9166666666666
37,1,Central,2003,05_01_1J390,186.16666666666666
38,1,Central,2003,05_01_201W1,1699.4166666666667
39,1,Central,2003,05_01_201W2,2245.5833333333335
40,1,Central,2003,05_01_201W3,828.1666666666666
41,1,Central,2003,05_01_201W4,434.4166666666667
42,1,Central,2003,05_01_205H1,0.0
43,1,Central,2003,05_01_205H2,0.0
44,1,Central,2003,05_01_205H3,0.0
45,1,Central,2003,05_01_205H6,0.0
46,1,Central,2003,05_01_205H7,0.0
47,1,Central,2003,05_01_207H1,0.0
48,1,Central,2003,05_01_207H2,0.0
49,1,Central,2003,05_01_207W1,1904.1666666666667
50,1,Central,2003,05_01_207W2,3251.25
51,1,Central,2003,05_01_207W3,935.5
52,1,Central,2003,05_01_207W4,1267.8333333333333
53,1,Central,2003,05_01_207W6,2365.0
54,1,Central,2003,05_01_208H2,0.0
55,1,Central,2003,05_01_210L1,2520.0
56,1,Central,2003,05_01_213H1,0.0
57,1,Central,2003,05_01_215H1,0.0
58,1,Central,2003,05_01_215H2,0.0
59,1,Central,2003,05_01_216W1,1940.3333333333333
60,1,Central,2003,05_01_216W2,953.5
61,1,Central,2003,05_01_216W3,1597.3333333333333
62,1,Central,2003,05_01_216W4,1089.0
63,1,Central,2003,05_01_216W5,1904.25
64,1,Central,2003,05_01_216W99,0.0
65,1,Central,2003,05_01_219W1,440.75
66,1,Central,2003,05_01_219W2,2055.25
67,1,Central,2003,05_01_219W3,384.6666666666667
68,1,Central,2003,05_01_219W4,990.1666666666666
69,1,Central,2003,05_01_219W5,930.3333333333334
70,1,Central,2003,05_01_219W6,1236.25
71,1,Central,2003,05_01_21W1,2347.9166666666665
72,1,Central,2003,05_01_21W2,2169.4166666666665
73,1,Central,2003,05_01_21W99,0.0
74,1,Central,2003,05_01_2208,0.75
75,1,Central,2003,05_01_225W1,2758.5
76,1,Central,2003,05_01_225W2,1.0833333333333333
77,1,Central,2003,05_01_225W3,1377.0
78,1,Central,2003,05_01_225W4,403.5
79,1,Central,2003,05_01_225W99,0.0
80,1,Central,2003,05_01_226L1,3280.5833333333335
81,1,Central,2003,05_01_226T42,0.16666666666666666
82,1,Central,2003,05_01_227W1,1008.25
83,1,Central,2003,05_01_227W3,1768.4166666666667
84,1,Central,2003,05_01_23W1,134.16666666666666
85,1,Central,2003,05_01_23W2,2846.6666666666665
86,1,Central,2003,05_01_23W3,1044.4166666666667
87,1,Central,2003,05_01_24W1,792.8333333333334
88,1,Central,2003,05_01_24W2,2083.75
89,1,Central,2003,05_01_24W3,1307.5
90,1,Central,2003,05_01_24W4,154.58333333333334
91,1,Central,2003,05_01_24W5,1583.9166666666667
92,1,Central,2003,05_01_26L99,0.0
93,1,Central,2003,05_01_26W1,1086.0
94,1,Central,2003,05_01_26W2,1943.0
95,1,Central,2003,05_01_26W3,975.25
96,1,Central,2003,05_01_26W4,256.0833333333333
97,1,Central,2003,05_01_27W1,2777.25
98,1,Central,2003,05_01_27W2,542.25
99,1,Central,2003,05_01_27W3,2.0
100,1,Central,2003,05_01_27W4,292.0
101,1,Central,2003,05_01_27W5,2417.5833333333335
102,1,Central,2003,05_01_2J328,422.5
103,1,Central,2003,05_01_2J335,841.0833333333334
104,1,Central,2003,05_01_2J345,1078.4166666666667
