Feeder ID,Fiscal Year,Y3_Before,Y2_Before,Y1_Before,Y1_After,Y2_After,Y3_After,Y4_After,years_since,years_until
05_01_11J314,2008,0,6,0,3,0.0,10.0,5.0,,3.0
05_01_12J378,2008,0,42,30,40,31.0,0.0,0.0,,1.0
05_01_16J2,2008,16,0,12,10,0.0,196.0,0.0,,5.0
05_01_18J394,2008,0,0,0,42,0.0,0.0,73.0,,1.0
05_01_1J362,2008,0,0,0,0,0.0,0.0,0.0,,4.0
05_01_1J363,2008,13,0,0,85,24.0,10.0,23.0,,1.0
05_01_1J369,2008,7,0,0,213,1.0,0.0,33.0,,1.0
05_01_1J370,2008,0,0,0,23,0.0,0.0,13.0,,4.0
05_01_207W2,2008,8087,6376,654,2880,4453.0,112.0,178.0,,1.0
05_01_207W6,2008,34,191,1028,2,1115.0,209.0,896.0,,5.0
05_01_216W2,2008,911,9,0,1955,1.0,980.0,54.0,,5.0
05_01_219W5,2008,962,314,1471,70,82.0,1.0,3.0,,5.0
05_01_24W4,2008,7,0,182,1,0.0,1.0,0.0,,1.0
05_01_26W3,2008,0,166,378,1017,38.0,12.0,153.0,,5.0
05_01_2J328,2008,12,13,15,128,1.0,0.0,24.0,,1.0
05_01_2J349,2008,0,40,0,99,0.0,41.0,0.0,,1.0
05_01_3J341,2008,0,0,15,1,0.0,37.0,0.0,,5.0
05_01_3J371,2008,9,0,0,26,291.0,0.0,1.0,,5.0
05_01_3J372,2008,0,0,57,21,0.0,45.0,0.0,,1.0
05_01_3J373,2008,49,0,0,136,1.0,3.0,118.0,,1.0
05_01_3J374,2008,5,19,0,24,0.0,23.0,0.0,,1.0
05_01_406L2,2008,123,78,99,49,18.0,84.0,34.0,,5.0
05_01_412L2,2008,79,107,1037,170,25.0,101.0,2299.0,,5.0
05_01_412L4,2008,2903,1172,622,1394,47.0,1126.0,1287.0,,5.0
05_01_412L6,2008,8,2258,22,0,65.0,2.0,0.0,,5.0
05_01_413L1,2008,226,1228,20,2842,1610.0,120.0,1222.0,,5.0
05_01_4J339,2008,0,77,83,73,0.0,0.0,30.0,,3.0
05_01_4J348,2008,0,0,0,1,0.0,0.0,0.0,,4.0
05_01_552L1,2008,930,9632,2434,3173,1788.0,3316.0,6236.0,,5.0
05_01_602W2,2008,686,108,1206,343,106.0,995.0,3420.0,,5.0
05_01_602W3,2008,0,0,61,185,0.0,0.0,25.0,,4.0
05_01_604W4,2008,0,0,0,0,0.0,0.0,0.0,,5.0
05_01_6J312,2008,0,42,18,0,0.0,25.0,0.0,,5.0
05_01_6J356,2008,0,6,0,78,13.0,1.0,0.0,,4.0
05_01_8J364,2008,24,20,0,11,39.0,0.0,0.0,,5.0
05_01_8J389,2008,0,0,0,71,0.0,0.0,50.0,,5.0
05_01_9J301,2008,0,0,0,0,0.0,0.0,0.0,,5.0
05_01_9J307,2008,18,0,38,0,69.0,28.0,0.0,,5.0
05_05_106W82,2008,0,243,565,0,106.0,92.0,256.0,,5.0
05_05_28W40,2008,28,0,56,1,80.0,0.0,0.0,,1.0
05_05_310W3,2008,2,229,67,0,23.0,0.0,1.0,,5.0
05_05_310W6,2008,1981,2510,814,79,225.0,46.0,664.0,,5.0
05_05_311W5,2008,0,124,141,0,248.0,2151.0,409.0,,5.0
05_05_313W1,2008,437,500,212,341,61.0,1953.0,346.0,,1.0
05_05_313W3,2008,64,100,107,713,1135.0,1802.0,526.0,,1.0
05_05_314W1,2008,0,0,67,26,0.0,0.0,142.0,,5.0
05_05_314W3,2008,0,4,4,1204,20.0,55.0,18.0,,5.0
05_05_317W8,2008,5,2,0,286,0.0,1.0,3.0,,5.0
05_05_320W1,2008,330,2222,0,9,210.0,1210.0,1943.0,,1.0
05_05_3424W1,2008,15,63,275,2,0.0,0.0,0.0,,1.0
05_05_3424W3,2008,0,0,32,0,0.0,0.0,0.0,,5.0
05_05_3424W5,2008,0,0,0,25,69.0,2902.0,2038.0,,5.0
05_05_3432W1,2008,2364,5650,4967,0,441.0,2644.0,66.0,,5.0
05_05_3432W2,2008,0,0,1706,1,1.0,879.0,1.0,,5.0
05_05_344W3,2008,104,24,0,0,0.0,0.0,0.0,,5.0
05_05_344W4,2008,42,329,106,16,5390.0,3498.0,1502.0,,5.0
05_05_3451W1,2008,0,0,365,0,0.0,0.0,0.0,,5.0
05_05_348W5,2008,0,0,1918,8,9.0,1474.0,3.0,,5.0
05_05_4L1,2008,5414,1218,170,1983,627.0,295.0,105.0,,1.0
05_05_4L2,2008,176,2684,475,2776,79.0,2939.0,805.0,,5.0
05_05_7L3,2008,538,505,0,3,3.0,0.0,1.0,,5.0
05_05_9L2,2008,1547,163,81,0,45.0,101.0,121.0,,5.0
05_05_9L5,2008,730,3674,1116,2394,1335.0,358.0,890.0,,5.0
05_07_11W2,2008,936,80,0,0,822.0,0.0,0.0,,5.0
05_07_12W3,2008,0,0,3,0,1.0,1.0,54.0,,5.0
05_07_12W4,2008,48,63,0,37,0.0,0.0,12.0,,5.0
05_07_1W1,2008,0,37,0,0,3.0,0.0,83.0,,5.0
05_07_1W2,2008,134,475,249,0,236.0,3.0,2.0,,5.0
05_07_1W3,2008,128,56,0,0,0.0,571.0,0.0,,5.0
05_07_1W5,2008,222,2024,19,116,0.0,54.0,26.0,,5.0
05_07_1W8,2008,0,0,0,0,49.0,178.0,457.0,,5.0
05_07_3W1,2008,32,1406,0,0,0.0,0.0,0.0,,5.0
05_07_3W2,2008,0,2250,0,18,241.0,0.0,0.0,,5.0
05_07_3W3,2008,0,578,0,0,0.0,187.0,0.0,,1.0
05_07_4J3,2008,343,343,0,0,59.0,90.0,0.0,,5.0
05_07_5W1,2008,36,262,0,0,0.0,0.0,1.0,,5.0
05_07_601W79,2008,0,9,0,0,0.0,0.0,0.0,,1.0
05_07_6J1,2008,0,1932,0,0,0.0,1.0,0.0,,5.0
05_07_797W20,2008,820,399,1552,348,2867.0,139.0,115.0,,1.0
05_07_8W1,2008,14,27,0,0,1537.0,0.0,569.0,,5.0
05_07_8W2,2008,55,0,0,0,0.0,9.0,0.0,,5.0
05_07_910W25,2008,587,2986,3183,1103,576.0,2564.0,30.0,,1.0
05_07_910W52,2008,265,1023,2672,557,406.0,274.0,406.0,,1.0
05_07_911W25,2008,0,0,0,0,69.0,0.0,0.0,,5.0
05_07_911W56,2008,2530,16,0,0,9.0,17.0,94.0,,5.0
05_07_911W59,2008,0,510,13,0,0.0,37.0,0.0,,5.0
05_07_912W75,2008,6,471,476,898,247.0,369.0,634.0,,5.0
05_07_91W43,2008,10,109,61,0,0.0,0.0,29.0,,5.0
05_07_97W4,2008,0,1632,6,0,0.0,65.0,50.0,,5.0
05_07_99W32,2008,1716,72,479,0,0.0,42.0,464.0,,5.0
05_07_99W63,2008,2165,158,1068,10,0.0,11.0,0.0,,5.0
05_07_9W1,2008,48,361,1100,2,0.0,1266.0,145.0,,5.0
05_07_9W2,2008,60,67,251,0,0.0,15.0,48.0,,5.0
05_09_1109W2,2008,1888,2375,4122,1119,360.0,917.0,1694.0,,1.0
05_09_501L2,2008,773,3328,1508,1427,410.0,2426.0,1084.0,,5.0
05_09_503L2,2008,940,977,2520,685,144.0,810.0,1054.0,,5.0
