Feeder ID,Fiscal Year,Y3_Before,Y2_Before,Y1_Before,Y1_After,Y2_After,Y3_After,Y4_After,years_since,years_until
05_01_11J314,2008,0,1536,0,1228,0.0,6734.0,1550.0,,3.0
05_01_12J378,2008,0,15858,1620,8560,1705.0,0.0,0.0,,1.0
05_01_16J2,2008,4131,0,2724,840,0.0,45864.0,0.0,,5.0
05_01_18J394,2008,0,0,0,45849,0.0,0.0,8872.0,,1.0
05_01_1J362,2008,0,0,0,0,0.0,0.0,0.0,,4.0
05_01_1J363,2008,429,0,0,89474,5502.0,12462.0,1840.0,,1.0
05_01_1J369,2008,511,0,0,218714,140.0,0.0,10395.0,,1.0
05_01_1J370,2008,0,0,0,9107,0.0,0.0,5158.0,,4.0
05_01_207W2,2008,1483833,612134,42911,296190,358721.0,10509.0,15068.0,,1.0
05_01_207W6,2008,6015,38585,204939,391,80330.0,21772.0,46245.0,,5.0
05_01_216W2,2008,316117,2268,0,148423,70.0,162176.0,3456.0,,5.0
05_01_219W5,2008,100634,58870,248599,19732,9324.0,59.0,198.0,,5.0
05_01_24W4,2008,1190,0,62114,329,0.0,128.0,0.0,,1.0
05_01_26W3,2008,0,7486,47457,41927,6880.0,720.0,24846.0,,5.0
05_01_2J328,2008,792,5109,21915,82917,80.0,0.0,1295.0,,1.0
05_01_2J349,2008,0,27648,0,177756,0.0,17105.0,0.0,,1.0
05_01_3J341,2008,0,0,4020,1427,0.0,4033.0,0.0,,5.0
05_01_3J371,2008,405,0,0,44044,43941.0,0.0,73.0,,5.0
05_01_3J372,2008,0,0,7524,4759,0.0,8730.0,0.0,,1.0
05_01_3J373,2008,13785,0,0,137850,85.0,691.0,5924.0,,1.0
05_01_3J374,2008,415,1501,0,28101,0.0,5980.0,0.0,,1.0
05_01_406L2,2008,16556,4188,21275,11801,946.0,24108.0,5575.0,,5.0
05_01_412L2,2008,15105,87768,195612,24587,4702.0,9949.0,196948.0,,5.0
05_01_412L4,2008,170929,610013,201404,196611,61616.0,151032.0,135875.0,,5.0
05_01_412L6,2008,200,11290,5148,0,13129.0,100.0,0.0,,5.0
05_01_413L1,2008,57743,144749,16820,432002,211727.0,23350.0,50528.0,,5.0
05_01_4J339,2008,0,23566,22161,65773,0.0,0.0,2190.0,,3.0
05_01_4J348,2008,0,0,0,1190,0.0,0.0,0.0,,4.0
05_01_552L1,2008,106347,989160,164409,1143220,226133.0,677574.0,568771.0,,5.0
05_01_602W2,2008,98098,61294,535098,74869,17572.0,166413.0,323401.0,,5.0
05_01_602W3,2008,0,0,10594,46243,0.0,0.0,2432.0,,4.0
