Feeder ID,Fiscal Year,Y3_Before,Y2_Before,Y1_Before,Y1_After,Y2_After,Y3_After,Y4_After,years_since,years_until
05_01_11J314,2008,0,1,0,3,0.0,2.0,1.0,,3.0
05_01_12J378,2008,0,2,1,1,1.0,0.0,0.0,,1.0
05_01_16J2,2008,2,0,1,2,0.0,1.0,0.0,,5.0
05_01_18J394,2008,0,0,0,2,0.0,0.0,2.0,,1.0
05_01_1J362,2008,0,0,0,0,0.0,0.0,0.0,,4.0
05_01_1J363,2008,1,0,0,2,2.0,2.0,1.0,,1.0
05_01_1J369,2008,1,0,0,2,1.0,0.0,1.0,,1.0
05_01_1J370,2008,0,0,0,5,0.0,0.0,2.0,,4.0
05_01_207W2,2008,4,6,7,14,8.0,3.0,8.0,,1.0
05_01_207W6,2008,2,3,5,2,6.0,5.0,3.0,,5.0
05_01_216W2,2008,1,1,0,3,1.0,1.0,1.0,,5.0
05_01_219W5,2008,2,2,1,2,5.0,1.0,1.0,,5.0
05_01_24W4,2008,1,0,2,1,0.0,1.0,0.0,,1.0
05_01_26W3,2008,0,5,5,2,2.0,1.0,7.0,,5.0
05_01_2J328,2008,1,1,1,6,1.0,0.0,2.0,,1.0
05_01_2J349,2008,0,2,0,8,0.0,2.0,0.0,,1.0
05_01_3J341,2008,0,0,1,1,0.0,1.0,0.0,,5.0
05_01_3J371,2008,1,0,0,1,1.0,0.0,1.0,,5.0
05_01_3J372,2008,0,0,1,2,0.0,1.0,0.0,,1.0
05_01_3J373,2008,3,0,0,10,1.0,2.0,2.0,,1.0
05_01_3J374,2008,1,1,0,2,0.0,1.0,0.0,,1.0
05_01_406L2,2008,3,4,2,4,3.0,1.0,4.0,,5.0
05_01_412L2,2008,2,2,7,2,2.0,4.0,7.0,,5.0
05_01_412L4,2008,7,9,8,10,4.0,17.0,13.0,,5.0
05_01_412L6,2008,1,1,1,0,2.0,2.0,0.0,,5.0
05_01_413L1,2008,4,14,1,2,2.0,6.0,8.0,,5.0
05_01_4J339,2008,0,1,1,1,0.0,0.0,1.0,,3.0
05_01_4J348,2008,0,0,0,1,0.0,0.0,0.0,,4.0
05_01_552L1,2008,18,25,13,28,15.0,7.0,16.0,,5.0
05_01_602W2,2008,5,4,9,8,9.0,10.0,6.0,,5.0
05_01_602W3,2008,0,0,2,6,0.0,0.0,2.0,,4.0
05_01_604W4,2008,0,0,0,0,0.0,0.0,0.0,,5.0
05_01_6J312,2008,0,1,1,0,0.0,1.0,0.0,,5.0
05_01_6J356,2008,0,1,0,5,2.0,1.0,0.0,,4.0
05_01_8J364,2008,1,1,0,1,1.0,0.0,0.0,,5.0
05_01_8J389,2008,0,0,0,3,0.0,0.0,2.0,,5.0
05_01_9J301,2008,0,0,0,0,0.0,0.0,0.0,,5.0
05_01_9J307,2008,1,0,1,0,1.0,1.0,0.0,,5.0
05_05_106W82,2008,0,1,2,0,2.0,1.0,3.0,,5.0
05_05_28W40,2008,1,0,3,1,2.0,0.0,0.0,,1.0
05_05_310W3,2008,1,3,6,0,1.0,0.0,1.0,,5.0
05_05_310W6,2008,6,9,3,4,6.0,3.0,3.0,,5.0
05_05_311W5,2008,0,1,4,0,4.0,1.0,8.0,,5.0
05_05_313W1,2008,3,10,6,8,4.0,8.0,9.0,,1.0
05_05_313W3,2008,2,2,4,6,7.0,7.0,11.0,,1.0
05_05_314W1,2008,0,0,1,1,0.0,0.0,2.0,,5.0
05_05_314W3,2008,0,1,1,3,3.0,2.0,1.0,,5.0
05_05_317W8,2008,1,1,0,1,0.0,1.0,1.0,,5.0
05_05_320W1,2008,4,5,0,1,7.0,2.0,3.0,,1.0
05_05_3424W1,2008,1,4,2,1,0.0,0.0,0.0,,1.0
05_05_3424W3,2008,0,0,1,0,0.0,0.0,0.0,,5.0
05_05_3424W5,2008,0,0,0,3,1.0,7.0,4.0,,5.0
05_05_3432W1,2008,3,6,6,0,1.0,3.0,3.0,,5.0
05_05_3432W2,2008,0,0,3,1,1.0,4.0,1.0,,5.0
05_05_344W3,2008,1,2,0,0,0.0,0.0,0.0,,5.0
05_05_344W4,2008,2,5,4,4,7.0,6.0,5.0,,5.0
05_05_3451W1,2008,0,0,1,0,0.0,0.0,0.0,,5.0
05_05_348W5,2008,0,0,3,1,3.0,4.0,2.0,,5.0
05_05_4L1,2008,10,7,3,5,6.0,4.0,4.0,,1.0
05_05_4L2,2008,3,12,4,8,3.0,6.0,2.0,,5.0
05_05_7L3,2008,4,2,0,1,1.0,0.0,1.0,,5.0
05_05_9L2,2008,4,2,2,0,3.0,2.0,4.0,,5.0
05_05_9L5,2008,2,6,5,5,4.0,7.0,4.0,,5.0
05_07_11W2,2008,2,4,0,0,1.0,0.0,0.0,,5.0
05_07_12W3,2008,0,0,1,0,1.0,1.0,1.0,,5.0
05_07_12W4,2008,1,5,0,1,0.0,0.0,1.0,,5.0
05_07_1W1,2008,0,2,0,0,1.0,0.0,1.0,,5.0
05_07_1W2,2008,1,8,5,0,3.0,3.0,2.0,,5.0
05_07_1W3,2008,3,2,0,0,0.0,2.0,0.0,,5.0
05_07_1W5,2008,3,6,1,2,0.0,3.0,2.0,,5.0
05_07_1W8,2008,0,0,0,0,1.0,2.0,1.0,,5.0
05_07_3W1,2008,2,3,0,0,0.0,0.0,0.0,,5.0
05_07_3W2,2008,0,4,0,1,1.0,0.0,0.0,,5.0
05_07_3W3,2008,0,6,0,0,0.0,2.0,0.0,,1.0
05_07_4J3,2008,1,2,0,0,1.0,1.0,0.0,,5.0
05_07_5W1,2008,1,1,0,0,0.0,0.0,1.0,,5.0
05_07_601W79,2008,0,1,0,0,0.0,0.0,0.0,,1.0
05_07_6J1,2008,0,2,0,0,0.0,1.0,0.0,,5.0
05_07_797W20,2008,7,14,4,6,7.0,2.0,3.0,,1.0
05_07_8W1,2008,2,1,0,0,4.0,0.0,1.0,,5.0
05_07_8W2,2008,2,0,0,0,0.0,1.0,0.0,,5.0
05_07_910W25,2008,12,29,10,20,12.0,17.0,5.0,,1.0
05_07_910W52,2008,8,9,7,7,12.0,9.0,8.0,,1.0
05_07_911W25,2008,0,0,0,0,1.0,1.0,0.0,,5.0
